timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/07/04 01:15:44.170, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:44.170, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:44.171, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:44.171, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:44.171, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:44.172, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:54.173, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:15:54.173, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:54.174, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:54.174, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:54.174, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:54.174, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:54.175, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:54.175, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:16:04.175, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:16:04.176, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:16:04.176, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:16:04.176, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:16:04.177, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:16:04.177, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:16:04.177, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:16:04.178, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:16:14.179, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:16:14.179, 1, 0 MiB, 81920 MiB, 0 %
